DatasetID,Taxon,Latitude,Longitude,yr20750,yr20250,yr19750,yr19250,yr18750,yr18250,yr17750,yr17250,yr16750,yr16250,yr15750,yr15250,yr14750,yr14250,yr13750,yr13250,yr12750,yr12250,yr11750,yr11250,yr10750,yr10250,yr9750,yr9250,yr8750,yr8250,yr7750,yr7250,yr6750,yr6250,yr5750,yr5250,yr4750,yr4250,yr3750,yr3250,yr2750,yr2250,yr1750,yr1250,yr750,yr250
776,tsuga,44.166667,-71.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.236406619,0,0.666666667,0.218340611,1.569506726,3.785058472,5.588822355,2.81124498,9.554234697,9.58995678,9.057978773,9.066833878,10.13513514,6.103286385,0,7.692307692,0,9.090909091,0,0,7.949953181,6.974612901
777,picea,53.233333,-58.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.47112462,2.678571429,4.216207951,2.81517094,10.71428571,1.724137931,0,0,0,10.2244389,17.41890711,26.1273229,28.61442511,48.55455601,72.8073633,76.63655789,68.51438143,83.54964198,67.34693878,64.48978475,70.73170732,62.58255357,67.01570681,55.31914894
777,quercus,53.233333,-58.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.607902736,0,0.114678899,0,0,0,0,0,0,0.748129676,0.092764378,0,0.218362499,0,0,0.071225071,0.185228003,0,0.255102041,0.249852703,0.27100271,0.264550265,0,0
777,tsuga,53.233333,-58.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036258158,0,0,0,0,0,0,0,0,0,0,0
777,tsuga,53.233333,-58.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036258158,0,0,0,0,0,0,0,0,0,0,0
777,tsuga,53.233333,-58.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036258158,0,0,0,0,0,0,0,0,0,0,0
777,tsuga,53.233333,-58.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036258158,0,0,0,0,0,0,0,0,0,0,0
777,tsuga,53.233333,-58.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036258158,0,0,0,0,0,0,0,0,0,0,0
781,picea,45.333333,-93.508333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336756092,0.243406131
781,quercus,45.333333,-93.508333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.43953769,37.75140209
