county,precinct,office,district,party,candidate,votes,vtd
Ford,Bloom Township,President,,Write-ins,"Sterling, Shawna",0,10
Ford,Bloom Township,President,,Write-ins,"Valdivia, Anthony J",0,10
Ford,Bloom Township,President,,Write-ins,"Vogel-Walcutt, J.J.",0,10
Ford,Bloom Township,President,,Write-ins,"Wysinger, Demetra Jefferson",0,10
Ford,Bloom Township,President,,Democratic,"Clinton, Hillary Rodham",4,10
Ford,Bloom Township,President,,Libertarian,"Johnson, Gary",2,10
Ford,Bloom Township,President,,Republican,"Trump, Donald J.",34,10
Ford,Bucklin City,President,,independent,"Stein, Jill",2,20
Ford,Bucklin City,President,,Write-ins,"Basiago, Andrew D.",0,20
Ford,Bucklin City,President,,Write-ins,"Castle, Darrell L",0,20
Ford,Bucklin City,President,,Write-ins,"De La Fuente,""Rocky"" Roque",0,20
Ford,Bucklin City,President,,Write-ins,"Giordani, Rocky",0,20
Ford,Bucklin City,President,,Write-ins,"Hedges, James A",0,20
Ford,Bucklin City,President,,Write-ins,"Hoefling, Tom",0,20
Ford,Bucklin City,President,,Write-ins,"Kahn, Lynn",0,20
Ford,Bucklin City,President,,Write-ins,"La Riva, Gloria",0,20
Ford,Bucklin City,President,,Write-ins,"Levinson, Michael S.",0,20
Ford,Bucklin City,President,,Write-ins,"Maturen, Michael A",0,20
Ford,Bucklin City,President,,Write-ins,"McMullin, Evan",0,20
Ford,Bucklin City,President,,Write-ins,"Moorehead, Monica G.",0,20
Ford,Bucklin City,President,,Write-ins,"Perry, Darryl",0,20
Ford,Bucklin City,President,,Write-ins,"Schoenke, Marshall R.",0,20
Ford,Bucklin City,President,,Write-ins,"Schriner, Joe C",0,20
Ford,Bucklin City,President,,Write-ins,"Smith, Mike",0,20
Ford,Bucklin City,President,,Write-ins,"Sood, Ajay",0,20
Ford,Bucklin City,President,,Write-ins,"Sterling, Shawna",0,20
Ford,Bucklin City,President,,Write-ins,"Valdivia, Anthony J",0,20
Ford,Bucklin City,President,,Write-ins,"Vogel-Walcutt, J.J.",0,20
Ford,Bucklin City,President,,Write-ins,"Wysinger, Demetra Jefferson",0,20
Ford,Bucklin City,President,,Democratic,"Clinton, Hillary Rodham",26,20
Ford,Bucklin City,President,,Libertarian,"Johnson, Gary",11,20
