census_block_group,distance_from_home,state,county
550790910006,5562,WI,Milwaukee County
550679605001,92445,WI,Langlade County
550679604003,61979,WI,Langlade County
550790013001,6666,WI,Milwaukee County
550790016001,7549,WI,Milwaukee County
550790207005,5591,WI,Milwaukee County
550790023002,6727,WI,Milwaukee County
550790023005,4565,WI,Milwaukee County
550790029002,4757,WI,Milwaukee County
550790030001,4698,WI,Milwaukee County
550790031001,4743,WI,Milwaukee County
550790032002,4087,WI,Milwaukee County
550790033003,5663,WI,Milwaukee County
550790034001,6278,WI,Milwaukee County
550896603012,14309,WI,Ozaukee County
550896603032,47190,WI,Ozaukee County
550790038002,5368,WI,Milwaukee County
550790040001,5162,WI,Milwaukee County
550790040003,4869,WI,Milwaukee County
550790041001,5141,WI,Milwaukee County
550790043001,6101,WI,Milwaukee County
550790043006,4847,WI,Milwaukee County
550790043007,5146,WI,Milwaukee County
550790066001,4599,WI,Milwaukee County
550790045001,23427,WI,Milwaukee County
550790044003,7549,WI,Milwaukee County
550790046004,4732,WI,Milwaukee County
550790069001,5013,WI,Milwaukee County
550790070001,4853,WI,Milwaukee County
550790072002,5703,WI,Milwaukee County
550790073001,10084,WI,Milwaukee County
550090207041,31743,WI,Brown County
551211004003,41088,WI,Trempealeau County
551010013023,3949,WI,Racine County
551211006003,33313,WI,Trempealeau County
551211008002,31338,WI,Trempealeau County
550250115051,29377,WI,Dane County
550250001002,14910,WI,Dane County
550250132005,23762,WI,Dane County
550699610002,24462,WI,Lincoln County
550250131004,55216,WI,Dane County
550790184001,7346,WI,Milwaukee County
550250112002,16667,WI,Dane County
550250015011,12627,WI,Dane County
550699603002,148736,WI,Lincoln County
550790181002,10341,WI,Milwaukee County
550790183001,10525,WI,Milwaukee County
550790185002,35602,WI,Milwaukee County
550291009001,75319,WI,Door County
550779603001,78540,WI,Marquette County
550779602003,77340,WI,Marquette County
550779604003,126627,WI,Marquette County
550779603002,75267,WI,Marquette County
550779601002,129753,WI,Marquette County
550779605003,81125,WI,Marquette County
551091205012,28935,WI,St. Croix County
550790195001,6530,WI,Milwaukee County
551410108003,54117,WI,Wood County
551410107004,73600,WI,Wood County
551410109001,24982,WI,Wood County
550790191002,7626,WI,Milwaukee County
550790193004,4017,WI,Milwaukee County
550790192002,5742,WI,Milwaukee County
550790192003,5701,WI,Milwaukee County
550730007002,7656,WI,Marathon County
550730008002,7506,WI,Marathon County
551410110006,22225,WI,Wood County
551410111002,24016,WI,Wood County
550790188002,4899,WI,Milwaukee County
550790189001,7608,WI,Milwaukee County
550790190005,6203,WI,Milwaukee County
551410110002,22826,WI,Wood County
551039705001,73052,WI,Richland County
551039701001,39159,WI,Richland County
550730010003,10285,WI,Marathon County
