SCHOOL,DISTRICT,SCH_TYPE,LOW_GRADE,HIGH_GRD,TYPE_DESC,SCH_CAT,CHARTER,FULL_ADDR,PHYS_COUNT,CESA,DPI_KEY,DIST_CODE,SCH_CODE,UNIQUE,NCES_DIST,NCES_SCH,Latitude,Longitude,Comment_Vax,PctMetMinRequirements_Vax
Consolidated Elementary ,Milton,Elementary School,KG,3,Public school,Regular,No,4838 N County Road F  Janesville WI  53545-8906,Rock,2,6586,3612,40,36120040,5509570,1115,42.738888,-89.0403,Report received,89
Dodgeland Elementary ,Dodgeland,Elementary School,K4,5,Public school,Regular,No,401 S Western Ave  Juneau WI  53039-1013,Dodge,6,1471,2744,40,27440040,5507260,791,43.401909,-88.71649,Report received,89
Dodgeland High School,Dodgeland,High School,9,12,Public school,Regular,No,401 S Western Ave  Juneau WI  53039-1013,Dodge,6,1470,2744,22,27440022,5507260,787,43.401909,-88.71649,Report received,89
Doudna Elementary ,Richland,Elementary School,KG,5,Public school,Regular,No,1990 Bohmann Dr  Richland Center WI  53581-2909,Richland,3,7304,4851,30,48510030,5512960,2345,43.317755,-90.378372,Report received,89
Eagle Elementary ,Palmyra-Eagle Area,Elementary School,K4,6,Public school,Regular,No,810 E Main St  Eagle WI  53119,Waukesha,2,2777,4221,10,42210010,5511350,1513,42.882143,-88.462509,Report received,89
Edward Bain School Dual Language,Kenosha,Elementary School,KG,5,Public school,Regular,No,2600 50th St  Kenosha WI  53140-5811,Kenosha,1,752,2793,125,27930125,5507320,2923,42.591092,-87.841386,Report received,89
Farnsworth Middle School ,Sheboygan Area,Middle School,6,8,Public school,Regular,No,1017 Union Ave  Sheboygan WI  53081-5999,Sheboygan,7,2071,5271,60,52710060,5513650,1783,43.731619,-87.717111,Report received,89
Frederic 6-12 Sch,Frederic,High School,6,12,Public school,Regular,No,1437 Clam Falls Dr  Frederic WI  54837,Polk,11,16593,1939,40,19390040,5504860,526,45.669903,-92.455718,Report received,89
Friedrich Froebel Garden,Green Bay Area Public,Elementary School,K4,0,Public school,Regular,No,3542 Finger Rd  Green Bay WI  54311-7733,Brown,7,813,2289,170,22890170,5505820,2965,44.487262,-87.905237,Report received,89
Gibraltar Middle School ,Gibraltar Area,Middle School,7,8,Public school,Regular,No,3924 State Highway 42  Fish Creek WI  54212,Door,7,48808,2114,200,21140200,5505220,1456,45.127257,-87.230699,Report received,89
Gilman Elementary ,Gilman,Elementary School,K4,6,Public school,Regular,No,325 N Fifth Ave  Gilman WI  54433,Taylor,10,12599,2135,40,21350040,5505280,567,45.16884,-90.807063,Report received,89
Glenwood City High School,Glenwood City,High School,9,12,Public school,Regular,No,850 Maple St  Glenwood City WI  54013,Saint Croix,11,10119,2198,80,21980080,5505520,587,45.053079,-92.15456,Report received,89
Grewenow Elementary ,Kenosha,Elementary School,K4,5,Public school,Regular,No,7714 20th Ave  Kenosha WI  53143-5817,Kenosha,1,3072,2793,220,27930220,5507320,2260,42.563259,-87.83324,Report received,89
Groppi High School,Milwaukee,High School,9,12,Public school,Alternative,No,1312 N 27th St  Milwaukee WI  53208-2408,Milwaukee,1,30940,3619,236,36190236,5509600,963,43.047716,-87.946888,Report received,89
Houlton Elementary ,Hudson,Elementary School,KG,5,Public school,Regular,No,70 County Road E  Houlton WI  54082-2038,Saint Croix,11,10397,2611,20,26110020,5506690,725,45.06804,-92.749369,Report received,89
Ithaca Middle School ,Ithaca,Middle School,6,8,Public school,Regular,No,24615 State Hwy 58  Richland Center WI  53581-6642,Richland,3,7303,2660,80,26600080,5506960,753,43.342572,-90.281638,Report received,89
LIFE Entrepreneur Magnet Sch,Hartland-Lakeside J3,Middle School,6,8,Public school,Regular,No,800 E North Shore Dr  Hartland WI  53029-2713,Waukesha,1,550,2460,200,24600200,5506140,2837,43.084347,-88.334582,Report received,89
Loyal Jr,Loyal,Junior High School,7,8,Public school,Regular,No,514 W Central  Loyal WI  54446,Clark,10,12670,3206,40,32060040,5508250,913,44.735362,-90.504335,Report received,89
Meyer Middle School ,River Falls,Middle School,6,8,Public school,Regular,No,230 N 9th St  River Falls WI  54022-2568,Pierce,11,10271,4893,60,48930060,5513050,1723,44.859244,-92.614177,Report received,89
Milw School of Languages,Milwaukee,Combined Elementary/Secondary School,6,12,Public school,Regular,No,8400 W Burleigh St  Milwaukee WI  53222-3717,Milwaukee,1,5353,3619,71,36190071,5509600,1273,43.07615,-88.01871,Report received,89
Monroe Elementary ,Janesville,Elementary School,K4,5,Public school,Regular,No,55 S Pontiac Dr  Janesville WI  53545-2200,Rock,2,6581,2695,260,26950260,5507020,769,42.690403,-88.986779,Report received,89
Monroe Elementary ,Manitowoc,Elementary School,1,6,Public school,Regular,No,2502 S 14th St  Manitowoc WI  54220-6499,Manitowoc,7,11428,3290,220,32900220,5508610,978,44.068461,-87.667994,Report received,89
New London High School,New London,High School,9,12,Public school,Regular,No,1700 Klatt Rd  New London WI  54961-8603,Waupaca,6,18069,3955,80,39550080,5510590,1384,44.371802,-88.759282,Report received,89
New London Middle School ,New London,Middle School,5,8,Public school,Regular,No,1000 W Washington St  New London WI  54961-1699,Waupaca,6,18072,3955,140,39550140,5510590,1388,44.386057,-88.750641,Report received,89
Northwoods Community Elementary ,Rhinelander,Elementary School,K4,5,Public school,Regular,Charter,9086 County Road K  Harshaw WI  54529-9731,Oneida,9,13770,4781,20,47810020,5512720,1673,45.690115,-89.663974,Report received,89
Oak Creek West Middle School ,Oak Creek-Franklin Joint,Middle School,6,8,Public school,Regular,No,8401 S 13th St  Oak Creek WI  53154-2811,Milwaukee,1,3535,4018,130,40180130,5510830,419,42.892181,-87.933723,Report received,89
Osceola Middle School ,Osceola,Middle School,6,8,Public school,Regular,No,1029 Oak Ridge Dr  Osceola WI  54020,Polk,11,10221,4165,80,41650080,5511160,2319,45.330051,-92.69057,Report received,89
Ozaukee High School,Northern Ozaukee,High School,9,12,Public school,Regular,No,401 Highland Dr  Fredonia WI  53021-9491,Ozaukee,1,1102,1945,60,19450060,5504890,530,43.474149,-87.942399,Report received,89
Parkside Sch,Wautoma Area,Combined Elementary/Secondary School,4,8,Public school,Regular,No,300 S 16th Ave  Wautoma WI  54982,Waushara,5,18324,6237,30,62370030,5515960,2071,44.073837,-89.31037,Report received,89
Pembine Elementary ,Beecher-Dunbar-Pembine,Elementary School,K4,6,Public school,Regular,No,N18775 Sauld St  Pembine WI  54156,Marinette,8,11040,4263,40,42630040,5511550,1529,45.63524,-87.99095,Report received,89
Plum City Elementary ,Plum City,Elementary School,K4,5,Public school,Regular,No,621 Main St  Plum City WI  54761-9044,Pierce,11,16001,4459,20,44590020,5511880,1556,44.633309,-92.192464,Report received,89
Poynette Middle School ,Poynette,Middle School,6,8,Public school,Regular,No,108 N Cleveland St  Poynette WI  53955-8913,Columbia,5,9755,4536,100,45360100,5512120,1581,43.389505,-89.396799,Report received,89
Racine Early Education Ctr,Racine Unified,Elementary School,K4,0,Public school,Regular,No,2015 Franklin St  Racine WI  53403-2634,Racine,1,259,4620,114,46200114,5512360,2708,42.705576,-87.789972,Report received,89
Randolph High School,Randolph,High School,9,12,Public school,Regular,No,110 Meadowood Dr  Randolph WI  53956-1398,Dodge,5,9779,4634,40,46340040,5512420,1651,43.541887,-88.997536,Report received,89
Richland Middle School ,Richland,Middle School,6,8,Public school,Regular,No,1801 State Highway 80  Richland Center WI  53581,Richland,3,7307,4851,280,48510280,5512960,1708,43.319145,-90.387547,Report received,89
River Falls 4 Children,River Falls,Elementary School,K4,0,Public school,Regular,No,1007 W Pine St  River Falls WI  54022,Pierce,11,738,4893,130,48930130,5513050,2924,44.860915,-92.637812,Report received,89
River Valley Elementary ,River Valley,Elementary School,1,4,Public school,Regular,No,830 W Daley St  Spring Green WI  53588,Sauk,3,7448,5523,120,55230120,5514250,2346,43.178797,-90.079462,Report received,89
Rock River Charter Sch,Janesville,High School,6,12,Public school,Regular,Charter,31 W Milwaukee St  Janesville WI  53548-2911,Rock,2,51945,2695,400,26950400,5507020,1698,42.682025,-89.024441,Report received,89
Rogers Street Acad,Milwaukee,Elementary School,K3,8,Public school,Regular,No,2430 W Rogers St  Milwaukee WI  53204-3655,Milwaukee,1,101,3619,177,36190177,5509600,2601,43.008907,-87.944672,Report received,89
Saint Croix Central High School,Saint Croix Central,High School,9,12,Public school,Regular,No,1751 Broadway St  Hammond WI  54015-9701,Saint Croix,11,10148,2422,60,24220060,5506060,672,44.981483,-92.44764,Report received,89
Sevastopol Elementary ,Sevastopol,Elementary School,KG,5,Public school,Regular,No,4550 Highway 57  Sturgeon Bay WI  54235-8599,Door,7,11593,5130,20,51300020,5513500,1767,44.890504,-87.28984,Report received,89
Somers Elementary ,Kenosha,Elementary School,K4,5,Public school,Regular,No,1245 72nd Ave  Kenosha WI  53144-7211,Kenosha,1,3301,2793,500,27930500,5507320,824,42.639199,-87.895113,Report received,89
Spring Valley Elementary ,Antigo Unified,Elementary School,PK,5,Public school,Regular,No,N4754 County Road BB  Antigo WI  54409-8724,Langlade,9,12393,140,260,1400260,5500360,45,45.160809,-89.093942,Report received,89
Spring Valley Elementary ,Spring Valley,Elementary School,K4,5,Public school,Regular,No,200 Sabin Ave  Spring Valley WI  54767-0427,Pierce,11,16046,5586,60,55860060,5514340,1862,44.848228,-92.237303,Report received,89
Stanley-Boyd Middle School ,Stanley-Boyd Area,Middle School,6,8,Public school,Regular,No,507 E 1st Ave  Stanley WI  54768-1279,Chippewa,10,16074,5593,100,55930100,5514430,1866,44.961087,-90.924983,Report received,89
Thomas Jefferson Middle School ,Port Washington-Saukville,Middle School,5,8,Public school,Regular,No,1403 N Holden St  Port Washington WI  53074-1294,Ozaukee,1,1976,4515,140,45150140,5512000,1570,43.404582,-87.877842,Report received,89
Viroqua High School,Viroqua Area,High School,9,12,Public school,Regular,No,100 Blackhawk Dr  Viroqua WI  54665-1315,Vernon,4,15034,5985,220,59850220,5515360,1976,43.558921,-90.900843,Report received,89
W4K,Waupaca,Elementary School,K4,0,Public school,Regular,No,515 School St  Waupaca WI  54981-1658,Waupaca,5,938,6195,170,61950170,5515840,3007,44.355307,-89.079418,Report received,89
Wabeno High School,Wabeno Area,High School,7,12,Public school,Regular,No,4325 N Branch St  Wabeno WI  54566,Forest,8,14086,5992,80,59920080,5515390,1979,45.439457,-88.64801,Report received,89
Walworth Elementary ,Walworth J1,Elementary School,K4,8,Public school,Regular,No,121 Beloit St  Walworth WI  53184,Walworth,2,3819,6022,20,60220020,5515450,1981,42.530716,-88.600895,Report received,89
Washington Island High School,Washington,High School,9,12,Public school,Regular,No,888 Main Rd  Washington Island WI  54246,Door,7,11752,6069,40,60690040,5515570,1987,45.36126,-86.928629,Report received,89
Wausaukee Elementary ,Wausaukee,Elementary School,K4,6,Public school,Regular,No,N11941 US Highway 141  Wausaukee WI  54177-9300,Marinette,8,11255,6230,80,62300080,5515930,2067,45.383307,-87.876231,Report received,89
Webster Middle School ,Cedarburg,Middle School,6,8,Public school,Regular,No,W75N624 Wauwatosa Rd  Cedarburg WI  53012-1732,Ozaukee,1,930,1015,100,10150100,5502460,273,43.299908,-88.004223,Report received,89
Webster Middle School ,Webster,Middle School,5,8,Public school,Regular,No,7564 Alder St W  Webster WI  54893,Burnett,11,17089,6293,100,62930100,5516230,2100,45.875618,-92.374042,Report received,89
West Elementary -KG Ctr,Baraboo,Elementary School,K4,0,Public school,Regular,No,707 Center St  Baraboo WI  53913-2000,Sauk,5,66,280,120,2800120,5500810,2587,43.47222,-89.749399,Report received,89
Westby Elementary ,Westby Area,Elementary School,K4,4,Public school,Regular,No,122 Nelson St  Westby WI  54667,Vernon,4,15078,6321,180,63210180,5516410,2145,43.647993,-90.864704,Report received,89
Westview Elementary ,Platteville,Elementary School,1,4,Public school,Regular,No,1201 W Camp St  Platteville WI  53818,Grant,3,9019,4389,120,43890120,5511850,1555,42.741608,-90.493648,Report received,89
Whitehall Memorial Jr/Sr High School,Whitehall,High School,7,12,Public school,Regular,No,19121 Hobson St  Whitehall WI  54773-8652,Trempealeau,4,16162,6426,120,64260120,5516650,2176,44.364959,-91.3294,Report received,89
Wisconsin Heights Middle School ,Wisconsin Heights,Middle School,6,8,Public school,Regular,No,10173 US Highway 14  Mazomanie WI  53560-9587,Dane,2,26957,469,80,4690080,5501230,609,43.157292,-89.770632,Report received,89
Woodlands Sch,Woodlands Sch,Elementary School,K4,8,Non District Charter Schools,Regular,Charter,5510 W Bluemound Rd  Milwaukee WI  53208-3012,Milwaukee,1,4499,8113,8728,81138728,5500113,3353,43.036762,-87.982544,Report received,89
Yahara Elementary ,De Forest Area,Elementary School,KG,4,Public school,Regular,No,234 N Lexington Pkwy  De Forest WI  53532-3003,Dane,2,6363,1316,160,13160160,5503180,108,43.24984,-89.357467,Report received,89
Yahara Elementary ,Edgerton,Elementary School,1,5,Public school,Regular,No,8643 Raymond Rd  Edgerton WI  53534,Rock,2,6438,1568,160,15680160,5504110,446,42.799076,-89.156899,Report received,89
