Site Name,County,Latitude,Longitutde,Sum,status,protection,,,,,,,,,,,,
Mill Woods,Dane,43.09,-89.346,22,partially destroyed,unprotected,,,,,,,,,,,,
Monona Avenue Park,Dane,43.071,-89.384,3,destroyed,unprotected,,,,,,,,,,,,
Monona Drive,Dane,43.077,-89.324,26,destroyed,unprotected,,,,,,,,,,,,
Monroe Street,Dane,43.061,-89.424,36,destroyed,unprotected,,,,,,,,,,,,
Moore,Dane,43.019,-89.248,3,partially destroyed ,protected,,,,,,,,,,,,
Morris Park 1/YMCA Cam,Dane,43.133,-89.433,7,intact,unprotected,,,,,,,,,,,,
Morris Park 2,Dane,43.123,-89.439,13,intact ,protected,,,,,,,,,,,,
ML Pleasant,Dane,43.001,-89.226,4,intact,unprotected,,,,,,,,,,,,
Murphy Creek,Dane,43.055,-89.396,13,destroyed,unprotected,,,,,,,,,,,,
Nine Mounds,Dane,43.004,-89.566,10,destroyed,unprotected,,,,,,,,,,,,
Noe Springs,Dane,42.861,-89.029,70,partially destroyed,unprotected,,,,,,,,,,,,
Nondahl,Dane,43.022,-89.296,3,partially destroyed,unprotected,,,,,,,,,,,,
North,Dane,42.866,-89.02,1,destroyed,unprotected,,,,,,,,,,,,
Observatory Hill,Dane,43.077,-89.419,5,destroyed,unprotected,,,,,,,,,,,,
Oscar Meyer,Dane,43.112,-89.362,11,destroyed,unprotected,,,,,,,,,,,,
Pheasant Branch Grove,Dane,43.131,-89.483,5,destroyed,unprotected,,,,,,,,,,,,
Picnic Point Bay,Dane,43.077,-89.426,2,destroyed,unprotected,,,,,,,,,,,,
Pine Bluff,Dane,43.04,-89.651,4,destroyed,unprotected,,,,,,,,,,,,
Piper,Dane,43.055,-89.461,12,destroyed,unprotected,,,,,,,,,,,,
Pleasant Springs,Dane,43.236,-89.163,6,partially destroyed,unprotected,,,,,,,,,,,,
Roth,Dane,43.033,-89.228,1,destroyed,unprotected,,,,,,,,,,,,
Sauterhoff,Dane,43.14,-89.404,1,intact,unprotected,,,,,,,,,,,,
Shepards Marsh,Dane,43.193,-89.071,3,unknown,unprotected,,,,,,,,,,,,
South Lake Waubesa,Dane,43.001,-89.316,6,destroyed,unprotected,,,,,,,,,,,,
Spring Harbor,Dane,43.081,-89.481,5,partially destroyed,unprotected,,,,,,,,,,,,
Stone Quarry,Dane,43.07,-89.461,5,unknown,unprotected,,,,,,,,,,,,
Sugar Bush,Dane,43.11,-89.36,5,destroyed,unprotected,,,,,,,,,,,,
